id,school_name,city,x_frpm,y_greenery_index
43694846047286,Luigi Aprea Elementary,Gilroy,0.36,0.5548300292637828
43694846047294,El Roble Elementary,Gilroy,0.575,0.59075006905314
43694846047302,Eliot Elementary,Gilroy,0.78,0.4508319726546952
43694846047310,Glen View Elementary,Gilroy,0.74,0.4332857972279249
43694846047328,Las Animas Elementary,Gilroy,0.413,0.2834477095408287
43694846047336,Rucker Elementary,Gilroy,0.6409999999999999,0.4183597399611715
43694846098214,South Valley Middle,Gilroy,0.556,0.259172644046853
43694846106991,Rod Kelley Elementary,Gilroy,0.541,0.3999121291658127
43694846111785,Brownell Middle,Gilroy,0.563,0.6311873020550237
43694926047351,Lakeside Elementary,Los Gatos,0.109,0.9788330236798344
43695006047369,Loma Prieta Elementary,Los Gatos,0.135,1.0
43695006093058,C. T. English Middle,Los Gatos,0.11,1.0
43695186047377,Almond Elementary,Los Altos,0.1159999999999999,0.6482147751172744
43695186047385,Ardis G. Egan Junior High,Los Altos,0.1009999999999999,0.6473876814049017
43695186047401,Covington Elementary,Los Altos,0.0819999999999999,0.5528029480581925
43695186047435,Georgina P. Blach Junior High,Los Altos,0.044,0.6718581491147755
43695186047450,Loyola Elementary,Los Altos,0.027,0.6494857967948624
43695186047468,Oak Avenue Elementary,Los Altos,0.027,0.505601528448266
43695186047492,Santa Rita Elementary,Los Altos,0.187,0.6144003444229784
43695186047500,Springer Elementary,Mountain View,0.049,0.5634268181858936
43695266047518,Blossom Hill Elementary,Los Gatos,0.07,0.629063892669863
43695266047526,Daves Avenue Elementary,Los Gatos,0.053,0.8378426862577889
43695266047534,Lexington Elementary,Los Gatos,0.052,1.0
43695266047542,Louise Van Meter Elementary,Los Gatos,0.067,0.5270930414354655
43695266047567,Raymond J. Fisher Middle,Los Gatos,0.0559999999999999,0.3320271736010247
43695344334371,Los Gatos High,Los Gatos,0.068,0.7102037441261171
43695344337762,Saratoga High,Saratoga,0.034,0.561588092843189
43695426047575,Luther Burbank Elementary,San Jose,0.6970000000000001,0.2752219180771378
43695750129940,Latimer,San Jose,0.475,0.3749281775718625
43695756047740,Country Lane Elementary,San Jose,0.3,0.6147920135155601
43695756047765,Easterbrook Discovery,San Jose,0.222,0.5646879000531273
43695756047781,Moreland Middle,San Jose,0.3829999999999999,0.4767128924847024
43695756047799,George C. Payne Elementary,San Jose,0.314,0.5725015113864026
43695756047807,Gussie M. Baker Elementary,San Jose,0.19,0.4685239649173589
43695756047831,Leroy Anderson Elementary,San Jose,0.8540000000000001,0.3349559110802014
